constructorStandingsId,raceId,constructorId,points,position,positionText,wins
1,18,1,14,1,1,1
2,18,2,8,3,3,0
3,18,3,9,2,2,0
4,18,4,5,4,4,0
5,18,5,2,5,5,0
6,18,6,1,6,6,0
7,19,1,24,1,1,1
8,19,2,19,2,2,0
9,19,3,9,4,4,0
10,19,4,6,5,5,0
11,19,5,2,8,8,0
12,19,6,11,3,3,1
14,19,9,2,7,7,0
15,19,11,0,9,9,0
18,20,1,28,3,3,1
19,20,2,30,1,1,0
20,20,3,10,4,4,0
21,20,4,6,6,6,0
22,20,5,2,8,8,0
23,20,6,29,2,2,2
25,20,9,4,7,7,0
26,20,11,0,9,9,0
29,21,1,34,3,3,1
30,21,2,35,2,2,0
31,21,3,12,4,4,0
32,21,4,6,7,7,0
33,21,5,2,9,9,0
34,21,6,47,1,1,3
36,21,9,8,6,6,0
37,21,11,3,8,8,0
40,22,1,42,3,3,1
41,22,2,44,2,2,0
42,22,3,13,4,4,0
43,22,4,9,7,7,0
44,22,5,2,9,9,0
45,22,6,63,1,1,4
47,22,9,10,5,5,0
48,22,11,3,8,8,0
51,23,1,53,2,2,2
52,23,2,52,3,3,0
53,23,3,15,4,4,0
54,23,4,9,7,7,0
55,23,5,6,8,8,0
56,23,6,69,1,1,4
58,23,9,15,5,5,0
59,23,11,6,9,9,0
62,24,1,53,3,3,2
63,24,2,70,2,2,1
64,24,3,15,6,6,0
65,24,4,9,7,7,0
66,24,5,7,9,9,0
67,24,6,73,1,1,4
69,24,9,21,4,4,0
70,24,11,8,8,8,0
73,25,1,58,3,3,2
74,25,2,74,2,2,1
75,25,3,15,6,6,0
76,25,4,12,7,7,0
77,25,5,7,9,9,0
78,25,6,91,1,1,5
80,25,9,24,4,4,0
81,25,11,8,8,8,0
84,26,1,72,3,3,3
85,26,2,82,2,2,1
86,26,3,16,6,6,0
87,26,4,15,7,7,0
88,26,5,7,9,9,0
89,26,6,96,1,1,5
91,26,9,24,5,5,0
92,26,11,14,8,8,0
95,27,1,86,3,3,4
96,27,2,89,2,2,1
97,27,3,16,7,7,0
98,27,4,23,6,6,0
99,27,5,8,9,9,0
100,27,6,105,1,1,5
102,27,9,24,5,5,0
103,27,11,14,8,8,0
106,28,1,100,2,2,5
107,28,2,90,3,3,1
108,28,3,16,7,7,0
109,28,4,31,5,5,0
110,28,5,8,9,9,0
111,28,6,111,1,1,5
113,28,9,24,6,6,0
114,28,11,14,8,8,0
117,29,1,113,2,2,5
118,29,2,96,3,3,1
119,29,3,17,7,7,0
120,29,4,31,5,5,0
121,29,5,11,9,9,0
122,29,6,121,1,1,6
124,29,9,24,6,6,0
125,29,11,14,8,8,0
128,30,1,119,2,2,5
129,30,2,107,3,3,1
130,30,3,17,7,7,0
131,30,4,36,5,5,0
132,30,5,17,8,8,0
133,30,6,131,1,1,7
135,30,9,25,6,6,0
136,30,11,14,9,9,0
139,31,1,129,2,2,5
140,31,2,117,3,3,1
141,31,3,17,8,8,0
142,31,4,41,5,5,0
143,31,5,27,6,6,1
144,31,6,134,1,1,7
146,31,9,26,7,7,0
147,31,11,14,9,9,0
150,32,1,135,1,1,5
151,32,2,120,3,3,1
152,32,3,26,8,8,0
153,32,4,51,4,4,1
154,32,5,31,6,6,1
155,32,6,134,2,2,7
157,32,9,28,7,7,0
158,32,11,14,9,9,0
161,33,1,135,2,2,5
162,33,2,128,3,3,1
163,33,3,26,8,8,0
164,33,4,66,4,4,2
165,33,5,34,6,6,1
166,33,6,142,1,1,7
168,33,9,29,7,7,0
169,33,11,14,9,9,0
1641,34,11,14,9,9,0
1640,34,9,29,7,7,0
1638,34,6,156,1,1,7
1637,34,5,34,6,6,1
1636,34,4,72,4,4,2
1635,34,3,26,8,8,0
1634,34,2,135,3,3,1
1633,34,1,145,2,2,6
183,35,1,151,2,2,6
184,35,2,135,3,3,1
185,35,3,26,8,8,0
186,35,4,80,4,4,2
187,35,5,39,6,6,1
188,35,6,172,1,1,8
190,35,9,29,7,7,0
191,35,11,14,9,9,0
25742,36,5,0,9,9,0
25741,36,9,0,8,8,0
25739,36,11,0,6,6,0
25737,36,3,2,4,4,0
25736,36,4,4,3,3,0
25735,36,2,5,2,2,0
25753,37,5,0,9,9,0
25752,37,9,0,6,6,0
25750,37,11,0,7,7,0
25748,37,3,2,5,5,0
25747,37,4,8,3,3,0
25746,37,2,10,2,2,0
25764,38,5,0,9,9,0
25763,38,9,0,6,6,0
25761,38,11,0,7,7,0
25759,38,3,2,5,5,0
25758,38,4,9,3,3,0
25757,38,2,18,2,2,0
25756,38,1,44,11,E,1
25755,38,6,39,1,1,2
25775,39,5,0,10,10,0
25774,39,9,4,6,6,0
25772,39,11,0,8,8,0
25770,39,3,5,4,4,0
25769,39,4,11,3,3,0
25768,39,2,23,2,2,0
25767,39,1,58,11,E,1
25786,40,5,0,8,8,0
25785,40,9,4,6,6,0
25783,40,11,0,9,9,0
25781,40,3,7,4,4,0
25780,40,4,16,3,3,0
25779,40,2,30,2,2,0
25778,40,1,76,11,E,2
25797,41,5,0,8,8,0
25796,41,9,4,6,6,0
25794,41,11,0,9,9,0
25792,41,3,13,4,4,0
25791,41,4,21,3,3,0
25790,41,2,38,2,2,0
25789,41,1,88,11,E,3
25808,42,5,0,8,8,0
25807,42,9,6,6,6,0
25805,42,11,0,9,9,0
25803,42,3,13,4,4,0
25802,42,4,25,3,3,0
25801,42,2,39,2,2,0
25800,42,1,106,11,E,4
25819,43,5,0,9,9,0
25818,43,9,6,6,6,0
25816,43,11,1,8,8,0
25814,43,3,13,4,4,0
25813,43,4,28,3,3,0
25812,43,2,48,2,2,0
25811,43,1,114,11,E,4
25830,44,5,0,9,9,0
25829,44,9,6,6,6,0
25827,44,11,1,8,8,0
25825,44,3,13,4,4,0
25824,44,4,31,3,3,0
25823,44,2,56,2,2,0
25822,44,1,128,11,E,5
25841,45,5,0,9,9,0
25840,45,9,16,5,5,0
25838,45,11,1,8,8,0
25836,45,3,18,4,4,0
25835,45,4,32,3,3,0
25834,45,2,61,2,2,0
25833,45,1,138,11,E,5
25852,46,5,0,9,9,0
25851,46,9,16,5,5,0
25849,46,11,1,8,8,0
25847,46,3,20,4,4,0
25846,46,4,33,3,3,0
25845,46,2,71,2,2,0
25844,46,1,138,11,E,6
25863,47,5,0,9,9,0
25862,47,9,16,5,5,0
25860,47,11,1,8,8,0
25858,47,3,22,4,4,0
25857,47,4,36,3,3,0
25856,47,2,77,2,2,0
25855,47,1,148,11,E,6
25874,48,5,0,9,9,0
25873,48,9,16,5,5,0
25871,48,11,2,8,8,0
25869,48,3,25,4,4,0
25868,48,4,38,3,3,0
25867,48,2,86,2,2,0
25866,48,1,166,11,E,7
25885,49,5,0,9,9,0
25884,49,9,18,5,5,0
25882,49,11,2,8,8,0
25880,49,3,28,4,4,0
25879,49,4,39,3,3,0
25878,49,2,90,2,2,0
25877,49,1,192,11,E,7
25896,50,5,0,10,10,0
25895,50,9,23,5,5,0
25893,50,11,2,8,8,0
25891,50,3,28,4,4,0
25890,50,4,51,3,3,0
25889,50,2,92,2,2,0
25888,50,1,202,11,E,8
25907,51,5,8,7,7,0
