driverStandingsId,raceId,driverId,points,position,positionText,wins
1,18,1,10.00,1,1,1
3,18,3,6.00,3,3,0
4,18,4,5.00,4,4,0
8,18,8,1.00,8,8,0
9,19,1,14.00,1,1,1
11,19,3,6.00,6,6,0
12,19,4,6.00,7,7,0
16,19,8,11.00,2,2,1
21,19,18,0.00,13,13,0
22,19,12,0.00,14,14,0
27,20,1,14.00,3,3,1
29,20,3,7.00,8,8,0
30,20,4,6.00,9,9,0
34,20,8,19.00,1,1,1
39,20,18,0.00,15,15,0
40,20,12,0.00,17,17,0
48,21,1,20.00,2,2,1
50,21,3,7.00,9,9,0
51,21,4,6.00,10,10,0
55,21,8,29.00,1,1,2
60,21,18,3.00,12,12,0
61,21,12,0.00,18,18,0
69,22,1,28.00,3,3,1
71,22,3,8.00,10,10,0
72,22,4,9.00,8,8,0
76,22,8,35.00,1,1,2
81,22,18,3.00,12,12,0
82,22,12,0.00,18,18,0
90,22,20,0.00,22,22,0
91,23,1,38.00,1,1,2
93,23,3,8.00,10,10,0
94,23,4,9.00,8,8,0
98,23,8,35.00,2,2,2
103,23,18,3.00,13,13,0
104,23,12,0.00,19,19,0
112,23,20,4.00,12,12,0
113,24,1,38.00,2,2,2
115,24,3,8.00,10,10,0
116,24,4,9.00,9,9,0
120,24,8,35.00,4,4,2
125,24,18,3.00,16,16,0
126,24,12,0.00,19,19,0
134,24,20,5.00,14,14,0
135,25,1,38.00,4,4,2
137,25,3,8.00,10,10,0
138,25,4,10.00,9,9,0
142,25,8,43.00,3,3,2
147,25,18,3.00,16,16,0
148,25,12,2.00,17,17,0
156,25,20,5.00,14,14,0
157,26,1,48.00,1,1,3
159,26,3,8.00,11,11,0
160,26,4,13.00,9,9,0
164,26,8,48.00,3,3,2
169,26,18,3.00,16,16,0
170,26,12,2.00,18,18,0
178,26,20,5.00,15,15,0
179,27,1,58.00,1,1,4
181,27,3,8.00,12,12,0
182,27,4,13.00,9,9,0
186,27,8,51.00,3,3,2
191,27,18,3.00,17,17,0
192,27,12,10.00,11,11,0
200,27,20,6.00,15,15,0
201,28,1,62.00,1,1,4
203,28,3,8.00,13,13,0
204,28,4,18.00,8,8,0
208,28,8,57.00,2,2,2
213,28,18,3.00,17,17,0
214,28,12,13.00,11,11,0
222,28,20,6.00,16,16,0
223,29,1,70.00,1,1,4
225,29,3,9.00,13,13,0
226,29,4,18.00,8,8,0
230,29,8,57.00,3,3,2
235,29,18,3.00,17,17,0
236,29,12,13.00,11,11,0
244,29,20,9.00,14,14,0
245,30,1,76.00,1,1,4
247,30,3,9.00,14,14,0
248,30,4,23.00,8,8,0
252,30,8,57.00,4,4,2
257,30,18,3.00,18,18,0
258,30,12,13.00,11,11,0
266,30,20,13.00,12,12,0
267,31,1,78.00,1,1,4
269,31,3,9.00,14,14,0
270,31,4,28.00,7,7,0
274,31,8,57.00,4,4,2
279,31,18,3.00,18,18,0
280,31,12,13.00,12,12,0
288,31,20,23.00,9,9,1
289,32,1,84.00,1,1,4
291,32,3,17.00,12,12,0
292,32,4,38.00,7,7,1
296,32,8,57.00,4,4,2
301,32,18,3.00,18,18,0
302,32,12,13.00,13,13,0
310,32,20,27.00,8,8,1
311,33,1,84.00,1,1,4
313,33,3,17.00,13,13,0
314,33,4,48.00,7,7,2
318,33,8,63.00,4,4,2
323,33,18,3.00,18,18,0
324,33,12,18.00,12,12,0
332,33,20,30.00,8,8,1
355,35,1,98.00,1,1,5
357,35,3,17.00,13,13,0
358,35,4,61.00,5,5,2
362,35,8,75.00,3,3,2
367,35,18,3.00,18,18,0
368,35,12,19.00,12,12,0
376,35,20,35.00,8,8,1
1198,71,4,6.00,3,3,0
1203,71,8,1.00,8,8,0
1207,71,35,0.00,12,12,0
1213,72,4,16.00,1,1,1
1218,72,8,1.00,12,12,0
1222,72,35,0.00,17,17,0
1227,72,30,2.00,11,11,0
1292,76,4,49.00,1,1,3
1297,76,8,27.00,2,2,2
1301,76,35,5.00,13,13,0
1306,76,30,12.00,9,9,0
1313,77,4,59.00,1,1,4
1318,77,8,27.00,2,2,2
1322,77,35,5.00,13,13,0
1327,77,30,16.00,8,8,0
1332,77,18,0.00,19,19,0
1382,80,4,69.00,1,1,5
1387,80,8,45.00,2,2,3
1391,80,35,6.00,15,15,0
1396,80,30,40.00,3,3,1
1401,80,18,5.00,16,16,0
1405,81,4,77.00,1,1,5
1410,81,8,51.00,2,2,3
1414,81,35,6.00,16,16,0
1419,81,30,43.00,3,3,1
1424,81,18,9.00,12,12,0
1428,82,4,87.00,1,1,6
1433,82,8,51.00,2,2,3
1437,82,35,6.00,16,16,0
1442,82,30,47.00,3,3,1
1447,82,18,15.00,12,12,0
1452,83,4,87.00,1,1,6
1457,83,8,61.00,2,2,4
1461,83,35,6.00,16,16,0
1466,83,30,55.00,3,3,1
1471,83,18,19.00,11,11,0
1476,84,4,95.00,1,1,6
1481,84,8,71.00,2,2,5
1485,84,35,6.00,16,16,0
1490,84,30,55.00,3,3,1
1495,84,18,23.00,11,11,0
1500,85,4,103.00,1,1,6
1505,85,8,76.00,2,2,5
1509,85,35,6.00,16,16,0
1514,85,30,55.00,3,3,1
1519,85,18,24.00,10,10,0
1525,86,4,111.00,1,1,6
1530,86,8,86.00,2,2,6
1534,86,35,9.00,13,13,0
1539,86,30,55.00,3,3,1
1544,86,18,30.00,9,9,0
1550,87,4,117.00,1,1,6
1555,87,8,94.00,2,2,6
1559,87,35,9.00,13,13,0
1564,87,30,60.00,4,4,1
1569,87,18,32.00,9,9,0
1575,88,4,123.00,1,1,6
1580,88,8,104.00,2,2,7
1584,88,35,9.00,13,13,0
1589,88,30,62.00,3,3,1
1594,88,18,36.00,9,9,0
1600,89,4,133.00,1,1,7
1605,89,8,112.00,2,2,7
1609,89,35,9.00,14,14,0
1614,89,30,62.00,3,3,1
1619,89,18,37.00,9,9,0
3077,158,30,10.00,1,1,1
3080,158,35,3.00,4,4,0
3086,159,30,20.00,1,1,2
3089,159,35,3.00,7,7,0
3097,159,18,1.00,9,9,0
3101,160,30,30.00,1,1,3
3104,160,35,5.00,6,6,0
3112,160,18,1.00,11,11,0
3116,160,57,6.00,4,4,0
3122,161,30,34.00,1,1,3
3125,161,35,5.00,7,7,0
3133,161,18,3.00,10,10,0
3137,161,57,12.00,3,3,0
3144,162,30,36.00,1,1,3
3147,162,35,5.00,8,8,0
3155,162,18,3.00,10,10,0
3159,162,57,22.00,2,2,1
3166,163,30,46.00,1,1,4
3169,163,35,5.00,8,8,0
3177,163,18,3.00,10,10,0
3181,163,57,28.00,2,2,1
3188,164,30,46.00,1,1,4
3191,164,35,5.00,8,8,0
3199,164,18,3.00,12,12,0
3203,164,57,29.00,3,3,1
3210,165,30,56.00,1,1,5
3213,165,35,5.00,8,8,0
3221,165,18,3.00,12,12,0
3225,165,57,32.00,3,3,1
3232,166,30,56.00,1,1,5
3235,166,35,8.00,7,7,0
3243,166,18,3.00,12,12,0
3247,166,57,38.00,3,3,1
3254,167,30,56.00,1,1,5
3257,167,35,11.00,7,7,0
3265,167,18,5.00,10,10,0
3269,167,57,48.00,3,3,2
3277,168,30,56.00,1,1,5
3280,168,35,11.00,7,7,0
3288,168,18,8.00,8,8,0
3292,168,57,54.00,3,3,2
3300,169,30,62.00,2,2,5
3303,169,35,11.00,7,7,0
3311,169,18,8.00,8,8,0
3315,169,57,64.00,1,1,3
3323,170,30,68.00,2,2,5
3326,170,35,11.00,7,7,0
3334,170,18,10.00,8,8,0
3338,170,57,74.00,1,1,4
3346,171,30,78.00,2,2,6
3349,171,35,11.00,7,7,0
3357,171,18,10.00,8,8,0
3361,171,57,80.00,1,1,4
3369,172,30,88.00,1,1,7
3372,172,35,14.00,7,7,0
3380,172,18,10.00,9,9,0
3384,172,57,80.00,2,2,4
3392,173,30,98.00,1,1,8
3395,173,35,15.00,7,7,0
3403,173,18,12.00,8,8,0
3407,173,57,86.00,2,2,4
3415,174,30,108.00,1,1,9
3418,174,35,17.00,7,7,0
3426,174,18,12.00,8,8,0
3430,174,57,89.00,2,2,4
3438,34,1,94.00,1,1,5
3440,34,3,17.00,13,13,0
3441,34,4,53.00,6,6,2
3445,34,8,69.00,4,4,2
3450,34,18,3.00,18,18,0
3451,34,12,19.00,12,12,0
3459,34,20,30.00,8,8,1
3504,79,4,59.00,1,1,4
3509,79,8,37.00,2,2,3
3513,79,35,5.00,15,15,0
3518,79,30,34.00,3,3,1
3523,79,18,0.00,22,22,0
3789,73,4,26.00,1,1,2
3794,73,8,7.00,8,8,0
3798,73,35,0.00,16,16,0
3803,73,30,2.00,14,14,0
3808,74,4,36.00,1,1,3
3813,74,8,7.00,11,11,0
3817,74,35,5.00,13,13,0
3822,74,30,10.00,4,4,0
3829,78,4,59.00,1,1,4
3834,78,8,37.00,2,2,3
3838,78,35,5.00,14,14,0
3843,78,30,24.00,5,5,0
3848,78,18,0.00,19,19,0
4291,191,57,10.00,1,1,1
4295,191,35,2.00,5,5,0
4298,191,71,0.00,8,8,0
4300,192,57,20.00,1,1,2
4304,192,35,2.00,7,7,0
4307,192,71,0.00,10,10,0
4309,192,30,4.00,4,4,0
4313,193,57,26.00,1,1,2
4317,193,35,2.00,7,7,0
4320,193,71,0.00,11,11,0
4322,193,30,14.00,2,2,1
4331,194,57,26.00,1,1,2
4335,194,35,5.00,7,7,0
4338,194,71,0.00,12,12,0
4340,194,30,20.00,3,3,1
4352,195,57,36.00,1,1,3
4356,195,35,6.00,7,7,0
4359,195,71,0.00,13,13,0
4361,195,30,24.00,3,3,1
4373,196,57,46.00,1,1,4
4377,196,35,8.00,7,7,0
4380,196,71,0.00,15,15,0
4382,196,30,24.00,3,3,1
4395,197,57,46.00,1,1,4
4399,197,35,8.00,8,8,0
4402,197,71,0.00,17,17,0
4404,197,30,34.00,2,2,2
4417,198,57,50.00,1,1,4
4421,198,35,11.00,7,7,0
4424,198,71,0.00,17,17,0
4426,198,30,44.00,2,2,3
4440,199,57,56.00,1,1,4
4444,199,35,11.00,7,7,0
4447,199,71,0.00,17,17,0
4449,199,30,54.00,2,2,4
4463,200,57,66.00,1,1,5
4467,200,35,12.00,7,7,0
4470,200,71,0.00,16,16,0
4472,200,30,58.00,2,2,4
4486,201,57,76.00,1,1,6
