circuitId,raceId,country,name,grandPrix,year,date
1,1,Australia,"Albert Park Grand Prix Circuit","Australian Grand Prix",2009,2009-03-29
2,2,Malaysia,"Sepang International Circuit","Malaysian Grand Prix",2009,2009-04-05
17,3,China,"Shanghai International Circuit","Chinese Grand Prix",2009,2009-04-19
3,4,Bahrain,"Bahrain International Circuit","Bahrain Grand Prix",2009,2009-04-26
4,5,Spain,"Circuit de Barcelona-Catalunya","Spanish Grand Prix",2009,2009-05-10
6,6,Monaco,"Circuit de Monaco","Monaco Grand Prix",2009,2009-05-24
5,7,Turkey,"Istanbul Park","Turkish Grand Prix",2009,2009-06-07
9,8,UK,"Silverstone Circuit","British Grand Prix",2009,2009-06-21
20,9,Germany,N�_rburgring,"German Grand Prix",2009,2009-07-12
11,10,Hungary,Hungaroring,"Hungarian Grand Prix",2009,2009-07-26
12,11,Spain,"Valencia Street Circuit","European Grand Prix",2009,2009-08-23
13,12,Belgium,"Circuit de Spa-Francorchamps","Belgian Grand Prix",2009,2009-08-30
14,13,Italy,"Autodromo Nazionale di Monza","Italian Grand Prix",2009,2009-09-13
15,14,Singapore,"Marina Bay Street Circuit","Singapore Grand Prix",2009,2009-09-27
22,15,Japan,"Suzuka Circuit","Japanese Grand Prix",2009,2009-10-04
18,16,Brazil,"Aut�_dromo Jos̩ Carlos Pace","Brazilian Grand Prix",2009,2009-10-18
24,17,UAE,"Yas Marina Circuit","Abu Dhabi Grand Prix",2009,2009-11-01
1,18,Australia,"Albert Park Grand Prix Circuit","Australian Grand Prix",2008,2008-03-16
2,19,Malaysia,"Sepang International Circuit","Malaysian Grand Prix",2008,2008-03-23
3,20,Bahrain,"Bahrain International Circuit","Bahrain Grand Prix",2008,2008-04-06
4,21,Spain,"Circuit de Barcelona-Catalunya","Spanish Grand Prix",2008,2008-04-27
5,22,Turkey,"Istanbul Park","Turkish Grand Prix",2008,2008-05-11
6,23,Monaco,"Circuit de Monaco","Monaco Grand Prix",2008,2008-05-25
7,24,Canada,"Circuit Gilles Villeneuve","Canadian Grand Prix",2008,2008-06-08
8,25,France,"Circuit de Nevers Magny-Cours","French Grand Prix",2008,2008-06-22
9,26,UK,"Silverstone Circuit","British Grand Prix",2008,2008-07-06
10,27,Germany,Hockenheimring,"German Grand Prix",2008,2008-07-20
11,28,Hungary,Hungaroring,"Hungarian Grand Prix",2008,2008-08-03
12,29,Spain,"Valencia Street Circuit","European Grand Prix",2008,2008-08-24
13,30,Belgium,"Circuit de Spa-Francorchamps","Belgian Grand Prix",2008,2008-09-07
14,31,Italy,"Autodromo Nazionale di Monza","Italian Grand Prix",2008,2008-09-14
15,32,Singapore,"Marina Bay Street Circuit","Singapore Grand Prix",2008,2008-09-28
