resultId,raceId,country,name,grandPrix,driverId,constructorId,number,grid,positionOrder,points,points,laps,time,fastestLapTime,fastestLapSpeed,statusId
1,18,Australia,"Albert Park Grand Prix Circuit","Australian Grand Prix",1,1,22,1,1,10,10,58,34:50.6,01:27.5,218.3,1
3,18,Australia,"Albert Park Grand Prix Circuit","Australian Grand Prix",3,3,7,7,3,6,6,58,8.163,01:28.1,216.719,1
27,19,Malaysia,"Sepang International Circuit","Malaysian Grand Prix",1,1,22,9,5,4,4,56,46.548,01:35.5,209.033,1
32,19,Malaysia,"Sepang International Circuit","Malaysian Grand Prix",18,11,16,11,10,0,0,56,+1:26.214,01:35.7,208.481,1
33,19,Malaysia,"Sepang International Circuit","Malaysian Grand Prix",12,4,6,13,11,0,0,56,+1:32.202,01:37.0,205.812,1
52,20,Bahrain,"Bahrain International Circuit","Bahrain Grand Prix",3,3,7,8,8,1,1,57,55.889,01:34.1,207.109,1
69,21,Spain,"Circuit de Barcelona-Catalunya","Spanish Grand Prix",1,1,22,5,3,6,6,66,4.187,01:22.0,204.323,1
72,21,Spain,"Circuit de Barcelona-Catalunya","Spanish Grand Prix",18,11,16,13,6,3,3,66,53.01,01:22.4,203.489,1
90,22,Turkey,"Istanbul Park","Turkish Grand Prix",1,1,22,3,2,8,8,58,3.779,01:26.5,222.085,1
96,22,Turkey,"Istanbul Park","Turkish Grand Prix",3,3,7,11,8,1,1,58,+1:11.406,01:27.8,218.882,1
109,23,Monaco,"Circuit de Monaco","Monaco Grand Prix",1,1,22,3,1,10,10,76,00:42.7,01:18.5,153.152,1
113,23,Monaco,"Circuit de Monaco","Monaco Grand Prix",20,5,15,19,5,4,4,76,24.657,01:18.8,152.614,1
136,24,Canada,"Circuit Gilles Villeneuve","Canadian Grand Prix",20,5,15,19,8,1,1,70,54.12,01:18.5,199.913,1
138,24,Canada,"Circuit Gilles Villeneuve","Canadian Grand Prix",3,3,7,5,10,0,0,70,54.749,01:18.0,201.336,1
139,24,Canada,"Circuit Gilles Villeneuve","Canadian Grand Prix",18,11,16,20,11,0,0,70,+1:07.540,01:19.4,197.847,1
155,25,France,"Circuit de Nevers Magny-Cours","French Grand Prix",12,4,6,9,7,2,2,70,41.033,01:17.8,204.218,1
158,25,France,"Circuit de Nevers Magny-Cours","French Grand Prix",1,1,22,13,10,0,0,70,54.538,01:17.5,205.022,1
160,25,France,"Circuit de Nevers Magny-Cours","French Grand Prix",20,5,15,12,12,0,0,70,58.065,01:17.8,204.212,1
169,26,UK,"Silverstone Circuit","British Grand Prix",1,1,22,4,1,10,10,60,39:09.4,01:32.8,199.398,1
189,27,Germany,Hockenheimring,"German Grand Prix",1,1,22,1,1,10,10,67,31:20.9,01:16.0,216.552,1
190,27,Germany,Hockenheimring,"German Grand Prix",12,4,6,17,2,8,8,67,5.586,01:16.9,214.099,1
196,27,Germany,Hockenheimring,"German Grand Prix",20,5,15,9,8,1,1,67,33.299,01:16.8,214.484,1
198,27,Germany,Hockenheimring,"German Grand Prix",3,3,7,13,10,0,0,67,37.625,01:17.4,212.799,1
213,28,Hungary,Hungaroring,"Hungarian Grand Prix",1,1,22,1,5,4,4,70,23.048,01:21.5,193.533,1
214,28,Hungary,Hungaroring,"Hungarian Grand Prix",12,4,6,10,6,3,3,70,32.298,01:21.5,193.428,1
230,29,Spain,"Valencia Street Circuit","European Grand Prix",1,1,22,2,2,8,8,57,5.611,01:38.9,197.285,1
234,29,Spain,"Valencia Street Circuit","European Grand Prix",20,5,15,6,6,3,3,57,52.625,01:39.5,196.093,1
236,29,Spain,"Valencia Street Circuit","European Grand Prix",3,3,7,9,8,1,1,57,+1:11.457,01:39.6,195.912,1
239,29,Spain,"Valencia Street Circuit","European Grand Prix",12,4,6,15,11,0,0,57,+1:32.717,01:39.5,195.977,1
